Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0,Season,Team
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,,
Ethan Ampadu,wls WAL,"MF,DF",22.0,46.0,3772,207,1321,2190,310,40,3772,21,11,52.4,9,42.9,2214,12061,6666,55,46,5,29,20,2664,18,Matches,2023-2024,Nott'ham-Forest
Illan Meslier,fr FRA,GK,23.0,43.6,1976,1253,1961,15,0,0,1976,0,0,,0,,1282,6649,4472,0,0,0,2,0,1334,0,Matches,2023-2024,Nott'ham-Forest
Georginio Rutter,fr FRA,"FW,MF",21.0,41.5,1753,45,172,713,912,232,1753,275,127,46.2,137,49.8,1136,7545,3338,120,79,64,186,109,1312,270,Matches,2023-2024,Nott'ham-Forest
Joe Rodon,wls WAL,DF,25.0,41.4,3549,334,1690,1793,82,33,3549,6,5,83.3,1,16.7,2234,12584,7531,23,6,0,17,5,2570,1,Matches,2023-2024,Nott'ham-Forest
Crysencio Summerville,nl NED,FW,21.0,38.9,2231,19,164,784,1327,256,2226,191,98,51.3,78,40.8,1444,10330,5154,196,117,100,119,59,1653,367,Matches,2023-2024,Nott'ham-Forest
Archie Gray,eng ENG,"DF,MF",17.0,40.0,2260,69,555,1231,501,31,2260,84,43,51.2,33,39.3,1223,6454,2952,72,49,10,44,42,1355,97,Matches,2023-2024,Nott'ham-Forest
Glen Kamara,fi FIN,MF,27.0,30.0,2148,24,297,1382,486,29,2148,27,18,66.7,8,29.6,1240,5413,2493,47,41,4,37,26,1663,71,Matches,2023-2024,Nott'ham-Forest
JoÃ«l Piroe,nl NED,"MF,FW",23.0,28.0,1063,20,105,517,455,90,1061,45,21,46.7,21,46.7,602,2929,1432,44,31,11,50,28,774,122,Matches,2023-2024,Nott'ham-Forest
Daniel James,wls WAL,FW,25.0,27.6,1300,17,106,440,775,131,1300,81,33,40.7,42,51.9,807,6067,3250,120,60,43,57,23,901,321,Matches,2023-2024,Nott'ham-Forest
Sam Byram,eng ENG,DF,29.0,21.5,1525,71,434,635,465,65,1525,31,13,41.9,12,38.7,663,3111,1539,49,28,12,25,12,816,113,Matches,2023-2024,Nott'ham-Forest
Pascal Struijk,nl NED,DF,23.0,22.1,2073,171,913,1073,94,18,2072,7,4,57.1,3,42.9,1339,8054,5074,22,17,0,9,5,1512,3,Matches,2023-2024,Nott'ham-Forest
Ilia Gruev,bg BUL,MF,23.0,19.7,1327,29,289,868,177,6,1327,3,2,66.7,0,0.0,693,3113,1497,11,9,0,7,6,888,8,Matches,2023-2024,Nott'ham-Forest
Junior Firpo,do DOM,DF,26.0,19.8,1530,49,334,753,454,65,1530,21,8,38.1,9,42.9,739,2851,1442,35,22,11,20,10,941,131,Matches,2023-2024,Nott'ham-Forest
Wilfried Gnonto,it ITA,"FW,MF",19.0,18.4,1021,16,126,382,522,95,1021,73,28,38.4,31,42.5,695,5151,2257,88,41,33,48,27,788,208,Matches,2023-2024,Nott'ham-Forest
Patrick Bamford,eng ENG,"FW,MF",29.0,16.6,504,11,29,232,253,101,503,26,9,34.6,15,57.7,276,1202,486,17,9,15,45,24,351,82,Matches,2023-2024,Nott'ham-Forest
Luke Ayling,eng ENG,DF,31.0,8.3,550,30,144,229,180,24,550,17,4,23.5,13,76.5,255,1200,541,14,10,3,12,5,293,58,Matches,2023-2024,Nott'ham-Forest
Liam Cooper,sct SCO,DF,31.0,7.8,773,58,364,401,12,6,773,3,1,33.3,2,66.7,430,1994,1062,2,1,0,2,2,554,2,Matches,2023-2024,Nott'ham-Forest
Jamie Shackleton,eng ENG,"DF,FW",23.0,7.5,505,15,111,252,145,19,505,18,10,55.6,7,38.9,277,1601,870,27,21,8,9,4,336,40,Matches,2023-2024,Nott'ham-Forest
Djed Spence,eng ENG,DF,22.0,4.3,344,18,86,156,109,14,344,19,8,42.1,9,47.4,187,1278,637,16,17,6,12,8,203,43,Matches,2023-2024,Nott'ham-Forest
Jaidon Anthony,eng ENG,"FW,MF",23.0,5.6,415,3,41,170,209,26,415,33,11,33.3,20,60.6,263,1702,734,33,13,14,11,13,300,64,Matches,2023-2024,Nott'ham-Forest
Connor Roberts,wls WAL,"DF,FW",27.0,3.5,282,8,59,134,91,15,282,1,0,0.0,0,0.0,159,822,490,11,4,1,0,1,180,25,Matches,2023-2024,Nott'ham-Forest
Joe Gelhardt,eng ENG,"MF,FW",21.0,2.2,96,1,7,40,49,6,96,9,2,22.2,7,77.8,56,227,69,1,1,1,8,3,61,5,Matches,2023-2024,Nott'ham-Forest
Luis Sinisterra,co COL,MF,24.0,1.9,131,1,12,57,63,13,131,12,5,41.7,6,50.0,79,378,209,5,2,4,5,6,106,15,Matches,2023-2024,Nott'ham-Forest
Ian Poveda,eng ENG,"MF,FW",23.0,1.7,94,0,9,46,39,9,94,8,5,62.5,3,37.5,72,446,220,9,2,5,12,4,72,12,Matches,2023-2024,Nott'ham-Forest
Charlie Cresswell,eng ENG,DF,20.0,1.5,148,25,84,59,6,2,148,2,0,0.0,2,100.0,90,607,330,3,3,0,1,0,96,0,Matches,2023-2024,Nott'ham-Forest
Karl Darlow,wls WAL,GK,32.0,1.4,60,41,59,1,0,0,60,0,0,,0,,29,141,74,0,0,0,0,0,38,0,Matches,2023-2024,Nott'ham-Forest
Kristoffer Klaesson,no NOR,GK,22.0,1.0,32,29,32,0,0,0,32,0,0,,0,,21,95,44,0,0,0,0,0,17,0,Matches,2023-2024,Nott'ham-Forest
Leo Fuhr Hjelde,no NOR,DF,19.0,0.5,37,1,4,24,9,0,37,0,0,,0,,18,50,10,0,0,0,0,0,24,0,Matches,2023-2024,Nott'ham-Forest
Mateo Joseph,es ESP,"FW,MF",19.0,2.6,109,4,11,43,57,16,109,8,4,50.0,4,50.0,60,272,109,5,3,3,15,9,74,17,Matches,2023-2024,Nott'ham-Forest
Cody Drameh,eng ENG,DF,21.0,0.2,12,1,7,4,2,0,12,0,0,,0,,6,34,5,0,0,0,0,1,5,0,Matches,2023-2024,Nott'ham-Forest
Sam Greenwood,eng ENG,MF,21.0,0.1,3,0,0,1,2,0,3,0,0,,0,,3,4,4,0,0,0,1,0,3,0,Matches,2023-2024,Nott'ham-Forest
Darko Gyabi,eng ENG,MF,19.0,0.0,3,0,2,0,1,0,3,0,0,,0,,1,5,0,0,0,0,2,1,1,0,Matches,2023-2024,Nott'ham-Forest
Sonny Perkins,eng ENG,FW,19.0,0.0,1,0,0,0,1,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches,2023-2024,Nott'ham-Forest
Squad Total,,,24.0,46.0,31627,2570,9528,14625,7788,1342,31618,1021,470,46.0,472,46.2,18593,104370,54991,1025,632,353,785,453,21885,2093,,2023-2024,Nott'ham-Forest
Opponent Total,,,26.1,46.0,24293,3268,9339,10163,5000,718,24292,733,289,39.4,388,52.9,12320,67360,33510,639,416,155,679,395,14515,1243,,2023-2024,Nott'ham-Forest
