Player,Nation,Pos,Age,90s,Tackles-Tkl,Tackles-TklW,Tackles-Def 3rd,Tackles-Mid 3rd,Tackles-Att 3rd,Challenges-Tkl,Challenges-Att,Challenges-Tkl%,Challenges-Lost,Blocks-Blocks,Blocks-Sh,Blocks-Pass,Int,Tkl+Int,Clr,Err,Matches,Season-Unnamed: 22_level_1,Team-Unnamed: 23_level_1
Ethan Ampadu,wls WAL,"MF,DF",22.0,46.0,70,42,34,32,4,29,44,65.9,15,64,36,28,64,134,111,0,Matches,2023-2024,Nott'ham-Forest
Illan Meslier,fr FRA,GK,23.0,43.6,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,28,2,Matches,2023-2024,Nott'ham-Forest
Georginio Rutter,fr FRA,"FW,MF",21.0,41.5,64,43,16,27,21,29,62,46.8,33,32,3,29,20,84,32,0,Matches,2023-2024,Nott'ham-Forest
Joe Rodon,wls WAL,DF,25.0,41.4,48,34,35,12,1,21,31,67.7,10,48,36,12,50,98,198,0,Matches,2023-2024,Nott'ham-Forest
Crysencio Summerville,nl NED,FW,21.0,38.9,61,39,17,25,19,28,52,53.8,24,34,1,33,22,83,23,0,Matches,2023-2024,Nott'ham-Forest
Archie Gray,eng ENG,"DF,MF",17.0,40.0,92,59,50,30,12,59,88,67.0,29,37,5,32,30,122,40,0,Matches,2023-2024,Nott'ham-Forest
Glen Kamara,fi FIN,MF,27.0,30.0,38,20,9,23,6,18,32,56.3,14,21,5,16,33,71,17,0,Matches,2023-2024,Nott'ham-Forest
JoÃ«l Piroe,nl NED,"MF,FW",23.0,28.0,26,19,1,18,7,7,23,30.4,16,17,3,14,6,32,8,0,Matches,2023-2024,Nott'ham-Forest
Daniel James,wls WAL,FW,25.0,27.6,31,16,15,8,8,13,34,38.2,21,31,2,29,8,39,11,0,Matches,2023-2024,Nott'ham-Forest
Sam Byram,eng ENG,DF,29.0,21.5,60,44,34,21,5,35,53,66.0,18,33,14,19,34,94,70,0,Matches,2023-2024,Nott'ham-Forest
Pascal Struijk,nl NED,DF,23.0,22.1,31,22,15,14,2,15,21,71.4,6,24,12,12,19,50,73,1,Matches,2023-2024,Nott'ham-Forest
Ilia Gruev,bg BUL,MF,23.0,19.7,47,24,18,23,6,12,31,38.7,19,16,4,12,27,74,14,0,Matches,2023-2024,Nott'ham-Forest
Junior Firpo,do DOM,DF,26.0,19.8,59,41,25,23,11,41,58,70.7,17,25,5,20,25,84,40,0,Matches,2023-2024,Nott'ham-Forest
Wilfried Gnonto,it ITA,"FW,MF",19.0,18.4,33,23,15,9,9,16,31,51.6,15,23,1,22,4,37,21,0,Matches,2023-2024,Nott'ham-Forest
Patrick Bamford,eng ENG,"FW,MF",29.0,16.6,17,10,0,12,5,10,17,58.8,7,4,0,4,2,19,10,0,Matches,2023-2024,Nott'ham-Forest
Luke Ayling,eng ENG,DF,31.0,8.3,30,21,16,11,3,16,32,50.0,16,10,0,10,10,40,19,0,Matches,2023-2024,Nott'ham-Forest
Liam Cooper,sct SCO,DF,31.0,7.8,10,8,6,4,0,7,11,63.6,4,12,7,5,14,24,29,0,Matches,2023-2024,Nott'ham-Forest
Jamie Shackleton,eng ENG,"DF,FW",23.0,7.5,16,11,6,6,4,8,13,61.5,5,7,1,6,4,20,12,1,Matches,2023-2024,Nott'ham-Forest
Djed Spence,eng ENG,DF,22.0,4.3,17,11,10,5,2,5,8,62.5,3,10,4,6,8,25,11,0,Matches,2023-2024,Nott'ham-Forest
Jaidon Anthony,eng ENG,"FW,MF",23.0,5.6,14,5,6,6,2,8,18,44.4,10,10,0,10,2,16,4,0,Matches,2023-2024,Nott'ham-Forest
Connor Roberts,wls WAL,"DF,FW",27.0,3.5,5,3,4,1,0,4,5,80.0,1,2,0,2,1,6,8,0,Matches,2023-2024,Nott'ham-Forest
Joe Gelhardt,eng ENG,"MF,FW",21.0,2.2,2,1,1,0,1,1,2,50.0,1,2,0,2,1,3,2,0,Matches,2023-2024,Nott'ham-Forest
Luis Sinisterra,co COL,MF,24.0,1.9,1,1,0,0,1,1,4,25.0,3,4,0,4,0,1,0,0,Matches,2023-2024,Nott'ham-Forest
Ian Poveda,eng ENG,"MF,FW",23.0,1.7,4,2,2,2,0,0,1,0.0,1,2,0,2,1,5,0,0,Matches,2023-2024,Nott'ham-Forest
Charlie Cresswell,eng ENG,DF,20.0,1.5,3,3,1,2,0,2,2,100.0,0,3,3,0,3,6,6,0,Matches,2023-2024,Nott'ham-Forest
Karl Darlow,wls WAL,GK,32.0,1.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,2023-2024,Nott'ham-Forest
Kristoffer Klaesson,no NOR,GK,22.0,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,2023-2024,Nott'ham-Forest
Leo Fuhr Hjelde,no NOR,DF,19.0,0.5,0,0,0,0,0,0,0,,0,2,0,2,0,0,3,0,Matches,2023-2024,Nott'ham-Forest
Mateo Joseph,es ESP,"FW,MF",19.0,2.6,2,1,0,1,1,1,1,100.0,0,4,0,4,1,3,3,0,Matches,2023-2024,Nott'ham-Forest
Cody Drameh,eng ENG,DF,21.0,0.2,1,0,1,0,0,1,1,100.0,0,1,1,0,1,2,0,1,Matches,2023-2024,Nott'ham-Forest
Sam Greenwood,eng ENG,MF,21.0,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,2023-2024,Nott'ham-Forest
Darko Gyabi,eng ENG,MF,19.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,2023-2024,Nott'ham-Forest
Sonny Perkins,eng ENG,FW,19.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,2023-2024,Nott'ham-Forest
Squad Total,,,24.0,46.0,783,504,338,315,130,388,677,57.3,289,478,143,335,390,1173,793,5,,2023-2024,Nott'ham-Forest
Opponent Total,,,26.1,46.0,925,553,485,343,97,472,942,50.1,470,614,220,394,436,1361,939,12,,2023-2024,Nott'ham-Forest
